name,id,source,Related ID,complete,host,date,loc,Originating Lab,Submission Date,Submitting Lab
BetaCoV/Wuhan/WH19008/2019,NMDC60013002-06,NMDC,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/YS8011/2020,NMDC60013002-07,NMDC,,Complete/2 Ns,Homo sapiens,2020-01-07,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19001/2019,NMDC60013002-08,NMDC,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19004/2020,NMDC60013002-09,NMDC,,Complete,Homo sapiens,2020-01-01,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19005/2019,NMDC60013002-10,NMDC,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Germany/BavPat1/2020,EPI_ISL_406862,GISAID,,Complete,Homo sapiens,2020-01-28,Germany / Bavaria / Munich,"Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich",2020-01-31,"Charité Universitätsmedizin Berlin, Institute of Virology"
BetaCoV/Wuhan/WH-01/2019,CNA0007332,CNGBdb,"LR757998, EPI_ISL_406798, NMDC60013002-01",Complete,Homo sapiens,2019-12-26,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-02/2019,CNA0007333,CNGBdb,"LR757997, EPI_ISL_406799, NMDC60013002-02",Partial/scaffold level,Homo sapiens,2019-12-31,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-03/2019,CNA0007334,CNGBdb,"LR757996, EPI_ISL_406800, NMDC60013002-03",Complete,Homo sapiens,2020-01-01,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-04/2019,CNA0007335,CNGBdb,"LR757995, EPI_ISL_406801, NMDC60013002-04",Complete,Homo sapiens,2020-01-05,China / Hubei Province / Wuhan City,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Australia/VIC01/2020,MT007544,GenBank,EPI_ISL_406844,Complete,Homo sapiens,2020-01-25,Australia / Victoria / Clayton,Monash Medical Centre,2020-01-31,"Department of Microbiology and Immunology, The University of Melbourne at The Peter Doherty Institute for Infection and Immunity"
WIV02,GWHABKK00000000,Genome Warehouse,"EPI_ISL_402127, MN996527",Complete,Homo sapiens,2019-12-30,China/ Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV04,GWHABKL00000000,Genome Warehouse,"EPI_ISL_402124, MN996528",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-11,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV05,GWHABKM00000000,Genome Warehouse,"EPI_ISL_402128, MN996529",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV06,GWHABKN00000000,Genome Warehouse,"EPI_ISL_402129, MN996530",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV07,GWHABKO00000000,Genome Warehouse,"EPI_ISL_402130, MN996531",Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
TG13,GWHABKP00000000,Genome Warehouse,"EPI_ISL_402131, MN996532",Complete,Rhinolophus affinis,2013-07-24,China / Yunnan / Pu'er,Wuhan Institute of Virology,2020-01-24,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
BetaCoV/Guangdong/20SF174/2020,EPI_ISL_406531,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Guangzhou/20SF206/2020,EPI_ISL_406533,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province / Guangzhou City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF207/2020,EPI_ISL_406534,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF210/2020,EPI_ISL_406535,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF211/2020,EPI_ISL_406536,GISAID,,Complete,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Guangdong/20SF201/2020,EPI_ISL_406538,GISAID,,Complete,Homo sapiens,2020-01-23,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Shenzhen/SZTH-001/2020,EPI_ISL_406592,GISAID,,Complete/high number of SNVs (28),Homo sapiens,2020-01-13,China/ Guangdong Province / Shenzhen City,Shenzhen Third People's Hospital,2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-003/2020,EPI_ISL_406594,GISAID,,Complete,Homo sapiens,2020-01-16,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-004/2020,EPI_ISL_406595,GISAID,,Complete/1 degenerate base,Homo sapiens,2020-01-16,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-002/2020,EPI_ISL_406593,GISAID,,Complete,Homo sapiens,2020-01-13,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/France/IDF0373/2020,EPI_ISL_406597,GISAID,,Complete,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-01-29,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
BetaCoV/France/IDF0372/2020,EPI_ISL_406596,GISAID,,Complete,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-01-29,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
2019-nCoV_HKU-SZ-001_2020,MN938387,GenBank,EPI_ISL_412043,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-001_2020,MN938385,GenBank,EPI_ISL_412041,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-002b_2020,MN938388,GenBank,EPI_ISL_412044,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-004_2020,MN938389,GenBank,EPI_ISL_412045,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-004_2020,MN938386,GenBank,EPI_ISL_412042,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-005_2020,MN938390,GenBank,EPI_ISL_412046,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-007a_2020,MN975266,GenBank,EPI_ISL_412052,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-007a_2020,MN975263,GenBank,EPI_ISL_412049,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-007b_2020,MN975264,GenBank,EPI_ISL_412050,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-007b_2020,MN975267,GenBank,EPI_ISL_412053,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-007c_2020,MN975268,GenBank,EPI_ISL_412054,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-007c_2020,MN975265,GenBank,EPI_ISL_412051,Partial/gene level,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
SI200040-SP,MN970003,GenBank,,Partial/gene level,Homo sapiens,2020-01-08,Thailand,,2020-01-19,"Faculty of Medicine, Chulalongkorn University"
SI200121-SP,MN970004,GenBank,,Partial/gene level,Homo sapiens,2020-01-13,Thailand,,2020-01-19,"Faculty of Medicine, Chulalongkorn University"
BetaCoV/Taiwan/2/2020,EPI_ISL_406031,GISAID,,Complete/2 degenerate bases,Homo sapiens,2020-01-23,China / Taiwan / Kaohsiung,Centers for Disease Control (Taiwan),2020-01-27,Centers for Disease Control (Taiwan)
2019-nCoV/USA-CA1/2020,MN994467,GenBank,EPI_ISL_406034,Complete,Homo sapiens,2020-01-23,United States / California / Los Angeles,California Department of Public Health,2020-01-27,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA2/2020,MN994468,GenBank,EPI_ISL_406036,Complete,Homo sapiens,2020-01-22,United States / California / Orange County,California Department of Public Health,2020-01-27,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-AZ1/2020,MN997409,GenBank,EPI_ISL_406223,Complete,Homo sapiens,2020-01-22,United States / Arizona / Phoenix,Arizona Department of Health Services,2020-01-28,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV WHU01,MN988668,GenBank,EPI_ISL_406716,Complete,Homo sapiens,2020-01-02,China / Hubei / Wuhan,"State Key Laboratory of Virology, Wuhan University",2020-01-23,"State Key Laboratory of Virology, Wuhan University"
2019-nCoV WHU02,MN988669,GenBank,EPI_ISL_406717,Complete,Homo sapiens,2020-01-02,China / Hubei / Wuhan,"State Key Laboratory of Virology, Wuhan University",2020-01-23,"State Key Laboratory of Virology, Wuhan University"
2019-nCoV/USA-WA1/2020,MN985325,GenBank,EPI_ISL_404895,Complete,Homo sapiens,2020-01-19,United States / Washington / Snohomish County,Providence Regional Medical Center,2020-01-24,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-IL1/2020,MN988713,GenBank,EPI_ISL_404253,Complete/8 degenerate bases,Homo sapiens,2020-01-21,United States / Illinois /Chicago,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention",2020-01-25,IL Department of Public Health Chicago Laboratory
BetaCoV/Wuhan/IPBCAMS-WH-01/2019,GWHABKF00000000,Genome Warehouse,"EPI_ISL_402123, MT019529",Complete,Homo sapiens,2019-12-23,China / Hubei Province / Wuhan City,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-11,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College; Vision Medicals Co., Ltd"
BetaCoV/Wuhan/IPBCAMS-WH-02/2019,GWHABKG00000000,Genome Warehouse,"EPI_ISL_403931, MT019530",Complete/high SNV density,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"
BetaCoV/Wuhan/IPBCAMS-WH-03/2019,GWHABKH00000000,Genome Warehouse,"EPI_ISL_403930, MT019531",Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"
BetaCoV/Wuhan/IPBCAMS-WH-04/2019,GWHABKI00000000,Genome Warehouse,"EPI_ISL_403929, MT019532",Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"
BetaCoV/Wuhan/IPBCAMS-WH-05/2020,GWHABKJ00000000,Genome Warehouse,"EPI_ISL_403928, MT019533",Complete,Homo sapiens,2020-01-01,China / Hubei Province / Wuhan City,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College; China National Center for Bioinformation"
2019-nCoV_HKU-SZ-002a_2020,MN938384,GenBank,EPI_ISL_406030,Complete,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-005b_2020,MN975262,GenBank,EPI_ISL_405839,Complete,Homo sapiens,2020-01,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
BetaCoV/Guangdong/20SF040/2020,EPI_ISL_403937,GISAID,,Complete,Homo sapiens,2020-01-18,China / Guangdong Province / Zhuhai City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF028/2020,EPI_ISL_403936,GISAID,,Complete,Homo sapiens,2020-01-17,China / Guangdong Province / Zhuhai City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF025/2020,EPI_ISL_403935,GISAID,,Complete,Homo sapiens,2020-01-15,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF014/2020,EPI_ISL_403934,GISAID,,Complete,Homo sapiens,2020-01-15,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF013/2020,EPI_ISL_403933,GISAID,,Complete,Homo sapiens,2020-01-15,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF012/2020,EPI_ISL_403932,GISAID,,Complete,Homo sapiens,2020-01-14,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Zhejiang/WZ-01/2020,EPI_ISL_404227,GISAID,,Complete,Homo sapiens,2020-01-16,China / Zhejiang Province,Zhejiang Provincial Center for Disease Control and Prevention,2020-01-21,"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention"
BetaCoV/Zhejiang/WZ-02/2020,EPI_ISL_404228,GISAID,,Complete,Homo sapiens,2020-01-17,China / Zhejiang Province,Zhejiang Provincial Center for Disease Control and Prevention,2020-01-21,"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/HBCDC-HB-01/2019,EPI_ISL_402132,GISAID,,Complete,Homo sapiens,2019-12-30,China/Hubei Province,Wuhan Jinyintan Hospital,2020-01-19,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Nonthaburi/74/2020,EPI_ISL_403963,GISAID,,Complete,Homo sapiens,2020-01-13,Thailand/ Nonthaburi Province,Bamrasnaradura Hospital,2020-01-17,"Department of Medical Sciences, Ministry of Public Health, Thailand; Thai Red Cross Emerging Infectious Diseases - Health Science Centre; Department of Disease Control, Ministry of Public Health, Thailand"
BetaCoV/Nonthaburi/61/2020,EPI_ISL_403962,GISAID,,Complete,Homo sapiens,2020-01-08,Thailand/ Nonthaburi Province,Bamrasnaradura Hospital,2020-01-17,"Department of Medical Sciences, Ministry of Public Health, Thailand; Thai Red Cross Emerging Infectious Diseases - Health Science Centre; Department of Disease Control, Ministry of Public Health, Thailand"
BetaCoV/Wuhan/IVDC-HB-04/2020,EPI_ISL_402120,GISAID,,Complete,Homo sapiens,2020-01-01,China / Hubei Province / Wuhan City,"National Institute for Viral Disease Control and Prevention, China CDC",2020-01-11,"National Institute for Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-01/2019,EPI_ISL_402119,GISAID,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,"National Institute for Viral Disease Control and Prevention, China CDC",2020-01-10,"National Institute for Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-05/2019,EPI_ISL_402121,GISAID,,Complete,Homo sapiens,2019-12-30,China / Hubei Province / Wuhan City,"National Institute for Viral Disease Control and Prevention, China CDC",2020-01-10,"National Institute for Viral Disease Control and Prevention, China CDC"
BetaCoV/Kanagawa/1/2020,EPI_ISL_402126,GISAID,,Partial,Homo sapiens,2020-01-14,Kanagawa Prefecture / Japan,"Department of Virology III, National Institute of Infectious Diseases",2020-01-16,"Department of Virology III, National Institute of Infectious Diseases"
Wuhan-Hu-1,MN908947,GenBank,NC_045512,Complete,Homo sapiens,2019-12,China / Hubei Province / Wuhan City,,2020-01-17,"Shanghai Public Health Clinical Center & School of Public Health, Fudan University, Shanghai, China"
